year,gender,team,opponent,playerNum,playerName,setsPlayed,atkPts,atkErrors,atkTotal,atkPtsPer,assists,servePts,serveErrors,recErrors,digs,blkPts,blkAst,blkErrors,BHE,totalPts,isMale
2009,Female,Waterloo,Brock,10,K. Spack,5,0,0,0,0.0,2,0,0,0,17,0,0,0,0,0,0
2009,Female,Waterloo,Brock,11,K. Flanagan,5,13,5,34,0.235,1,1,0,0,13,0,2,0,0,14,0
2009,Female,Waterloo,Brock,13,B. Josipovic,5,11,3,41,0.195,3,2,0,0,11,0,3,0,0,13,0
2009,Female,Waterloo,Brock,14,K. Ng,5,2,0,2,1.0,40,0,0,0,0,0,0,0,0,2,0
2009,Female,McMaster,Guelph,1,Sarah Kiernan,3,9,1,15,0.533,0,0,1,0,3,1,0,0,0,10,0
2009,Female,McMaster,Guelph,7,Kaila Janssen,3,5,0,16,0.312,1,0,0,1,7,0,2,0,0,5,0
2009,Female,McMaster,Guelph,8,Shannon McRobert,3,9,1,17,0.471,1,1,1,0,2,3,2,0,0,13,0
2009,Female,McMaster,Guelph,13,Jennifer Holt,3,3,0,4,0.75,34,0,1,0,9,0,0,0,0,3,0
2009,Female,McMaster,Guelph,14,Larissa Puhach,3,7,2,17,0.294,0,2,0,0,5,1,0,1,0,10,0
2009,Female,McMaster,Guelph,17,Kailee Stock,3,11,5,25,0.24,0,2,0,1,4,1,0,1,1,14,0
2009,Female,McMaster,Guelph,4,Meagan Nederveen,3,0,0,0,0.0,0,0,0,3,8,0,0,0,0,0,0
2009,Female,Guelph,McMaster,4,Brooke Lloyd,3,4,4,13,0.0,0,0,0,0,1,0,0,1,0,4,0
2009,Female,Guelph,McMaster,7,Melissa Mcginn,3,0,0,1,0.0,26,2,0,0,5,0,0,1,1,2,0
2009,Female,Guelph,McMaster,10,Kaitlyn Krizmanich,3,5,3,16,0.125,0,1,1,1,5,0,0,0,0,6,0
2009,Female,Guelph,McMaster,11,Claire Sandor,3,4,3,13,0.077,0,1,2,0,7,1,1,1,1,6,0
2009,Female,Guelph,McMaster,14,Erinn Bickle,3,4,0,9,0.444,0,1,2,0,2,1,1,1,0,6,0
2009,Female,Guelph,McMaster,15,Kylen Van osch,3,7,2,21,0.238,0,2,1,0,3,0,0,0,0,9,0
2009,Female,Guelph,McMaster,1,Naomi Fukudome,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
2009,Female,Guelph,McMaster,2,Lauren Watson,1,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0
2009,Female,Guelph,McMaster,8,Megan Canavan,3,0,0,0,0.0,1,0,0,0,8,0,0,0,0,0,0
2009,Female,Guelph,McMaster,12,Jenny Vance,3,4,4,13,0.0,0,0,0,0,3,0,0,0,0,4,0
2009,Female,Guelph,McMaster,13,Devon Jones,1,2,0,2,1.0,0,0,0,0,0,0,0,0,0,2,0
2009,Female,Western,Queen's,2,Jenna Thomson,1,0,0,1,0.0,3,0,0,0,4,0,0,0,0,0,0
2009,Female,Western,Queen's,4,Claire Morrow,3,0,0,0,0.0,0,0,0,0,10,0,0,0,0,0,0
2009,Female,Western,Queen's,5,Sarah Johnston,2,3,1,9,0.222,0,0,0,0,2,3,0,0,0,6,0
2009,Female,Western,Queen's,6,Sara Farrell,3,7,2,13,0.385,0,0,0,0,3,2,0,0,0,9,0
2009,Female,Western,Queen's,7,Nicole Smyrnios,3,1,0,2,0.5,24,0,0,0,9,0,0,0,0,1,0
2009,Female,Western,Queen's,10,Sarah Lowry,3,4,2,23,0.087,2,0,0,0,7,0,0,0,0,4,0
2009,Female,Western,Queen's,11,Danielle Marshall,1,0,0,1,0.0,0,0,0,0,1,1,0,0,0,1,0
2009,Female,Western,Queen's,12,Elaine Screaton,3,8,5,30,0.1,0,0,0,0,10,0,0,0,0,8,0
2009,Female,Western,Queen's,13,Jacqueline Robinson,2,4,4,15,0.0,0,0,0,0,3,1,0,0,0,5,0
2009,Female,Queen's,Western,2,Elyssa Heller,3,5,0,16,0.312,0,0,0,0,12,3,0,0,0,8,0
2009,Female,Queen's,Western,4,Lorna Button,3,5,3,24,0.083,0,1,0,0,5,0,0,0,0,6,0
2009,Female,Queen's,Western,6,Julie Lockwood,3,1,0,1,1.0,31,2,0,0,8,0,0,0,0,3,0
2009,Female,Queen's,Western,7,Colleen Ogilvie,3,12,2,21,0.476,0,1,0,0,5,1,0,0,0,14,0
2009,Female,Queen's,Western,10,Becky Billings,3,0,0,0,0.0,0,0,0,0,15,0,0,0,0,0,0
2009,Female,Queen's,Western,11,Shannon Walsh,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
2009,Female,Queen's,Western,12,Natalie Gray,3,14,4,34,0.294,0,0,0,0,12,0,0,0,0,14,0
2009,Female,Queen's,Western,13,Katie Matthews,1,1,0,3,0.333,0,0,0,0,1,1,0,0,0,2,0
2009,Female,Queen's,Western,14,Kristin Collins,1,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0
2009,Female,York,Ottawa,1,Kristina Vlcek,5,14,9,50,0.1,2,5,0,1,15,2,0,0,0,21,0
2009,Female,York,Ottawa,3,Dimitra Stathakos,5,9,4,23,0.217,0,2,6,0,5,1,0,0,0,12,0
2009,Female,York,Ottawa,4,Stephanie Green,4,2,2,10,0.0,0,0,0,0,4,3,0,0,0,5,0
2009,Female,York,Ottawa,6,Thin Sriskandarajah,5,7,9,49,-0.041,0,0,0,4,22,1,0,1,0,8,0
